Name,Symptoms,Treatments,Disease_Code,Contagious,Chronic
Gestational Cholestasis,"Itchy skin, particularly on the hands and feet",,D001,False,False
Injury to Internal Organ,"Abdominal pain, bleeding, organ dysfunction","Immediate medical attention, diagnostic tests, surgery (in some cases)",D002,False,False
Scabies,"Intense itching, especially at night, small blisters or bumps","Prescription medications (topical or oral scabicides), washing clothes and bedding in hot water, vacuuming and cleaning home",D003,False,True
Congenital Glaucoma,"Cloudy or hazy eyes, excessive tearing, sensitivity to light","Surgery (e.g., trabeculotomy, goniotomy) to create a new drainage pathway, medications to reduce intraocular pressure",D004,False,True
Avoidant/Restrictive Food Intake Disorder (ARFID),"Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight","Nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medical monitoring, exposure therapy, occupational therapy",D005,False,True
Subdural hemorrhage,"Headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness","Immediate medical attention, close monitoring of vital signs and neurological status, diagnostic imaging (such as CT or MRI scan), potential surgical intervention (such as craniotomy or burr hole evacuation), medication to manage symptoms",D006,False,True
Poisoning due to Antidepressants,"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress","Seek immediate medical assistance or contact a poison control center, activated charcoal (if indicated), supportive care (maintaining vital signs, airway management), gastric lavage (in certain cases), administration of antidotes (if available and appropriate), monitoring and management of complications",D007,False,True
Mittelschmerz,Lower abdominal pain and discomfort occurring around the time of ovulation,"Pain management (over-the-counter pain relievers, heat therapy), hormonal birth control (if severe or recurrent)",D008,False,True
Cornea Infection,"Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light","Antibiotic or antifungal eye drops, oral medications, supportive care, possible corneal transplant (in severe cases)",D009,False,True
Myopia,"Blurred distance vision, eyestrain, squinting","Eyeglasses, contact lenses, refractive surgery (LASIK), orthokeratology (for some cases)",D010,False,False
Abscess of the Lung,"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue","Antibiotics, drainage or surgical removal of the abscess, supportive care, management of underlying lung conditions",D011,True,False
Congenital rubella,"Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth","Supportive care to manage symptoms and complications, early intervention services for developmental delays, educational support, vision and hearing interventions, specialized medical care as needed",D012,False,False
Intertrigo,"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation","Keeping the affected area clean and dry, applying topical antifungal or antibacterial creams, using barrier creams",D013,False,False
Insect Bites,"Red, swollen, itchy bumps","Topical corticosteroids, oral antihistamines, cold compresses",D014,False,False
Complex Regional Pain Syndrome,"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion","Physical therapy (including exercises, stretching, and mirror therapy), pain management techniques (such as medications, nerve blocks, or spinal cord stimulation), sympathetic nerve blocks, psychological support (such as cognitive-behavioral therapy or counseling), occupational therapy, graded motor imagery, transcutaneous electrical nerve stimulation (TENS), patient education and self-management techniques",D015,False,True
Anxiety,"Excessive worrying, restlessness, increased heart rate, panic attacks","Therapy (cognitive-behavioral therapy, psychotherapy), medications (antidepressants, anti-anxiety drugs)",D016,False,True
Gastroesophageal Reflux Disease (GERD),"Heartburn, acid reflux, chest pain","Lifestyle changes, medications (antacids, proton pump inhibitors)",D017,False,True
Crushing Injury,"Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area","Emergency medical attention, immobilization, pain management, surgery (to repair or reconstruct affected tissues), rehabilitation (physical therapy, occupational therapy)",D018,False,True
Cellulitis,"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement","Antibiotics, Warm compresses, immobilization, rest, Pain management",D019,False,False
Anal Fissure,"Pain during bowel movements, rectal bleeding","Stool softeners, fiber supplements, topical ointments, surgical procedures (in severe cases)",D020,False,False
Neuropathic Pain,"Shooting or burning pain, tingling or numbness","Medications (such as antidepressants, anticonvulsants, topical treatments), nerve blocks, spinal cord stimulation, physical therapy, occupational therapy, transcutaneous electrical nerve stimulation (TENS), acupuncture, cognitive-behavioral therapy, relaxation techniques",D021,False,True
Common Cold,"cough, sore throat, runny nose, sneezing","rest, fluids, over-the-counter medication",D022,True,True
Food Allergy,"Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms","Avoidance of allergenic food, antihistamines, epinephrine (in severe cases)",D023,False,False
Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue","Medications (immunosuppressants, antifibrotic drugs), oxygen therapy, lung transplantation",D024,True,True
Hyperosmotic Hyperketotic State,"Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor","Insulin therapy to regulate blood sugar levels, intravenous fluids to correct dehydration, electrolyte replacement, correction of underlying causes (e.g., diabetes management)",D025,True,True
Overflow Incontinence,"Frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream","Bladder training exercises, double voiding, catheterization, medications (alpha-blockers, anticholinergics), surgery (in severe cases), lifestyle modifications",D026,False,True
Abdominal Injury,"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool","Immediate medical attention, X-ray, CT scan, ultrasound, stabilization of vital signs, pain management, observation for signs of internal bleeding, potential surgical intervention, wound care",D027,False,False
Hirsutism,Excessive hair growth in women,"Medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes",D028,False,True
Neuralgia,"Sharp, shooting pain along the affected nerve","Medications (pain relievers, anticonvulsants), nerve blocks",D029,False,True
Warthin tumor,"Painless lump or swelling, Facial changes",Surgical excision,D030,False,False
Presbycusis,"Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear","Hearing aids, assistive listening devices, cochlear implants (in severe cases), communication strategies, counseling, regular hearing evaluations",D031,False,False
Opioid Use Disorder,"Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)","Medication-assisted treatment (such as methadone, buprenorphine, naltrexone), counseling or therapy (such as cognitive-behavioral therapy, contingency management), support groups (such as Narcotics Anonymous), harm reduction strategies, addressing underlying psychological or social factors, lifestyle changes, ongoing monitoring and support",D032,False,True
Panic disorder,"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness","Antidepressant medications, Cognitive Behavioral Therapy, Relaxation Techniques",D033,False,True
Esophageal Cancer,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness","Surgery, chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care, clinical trials",D034,False,True
Alcohol Intoxication,"Slurred speech, impaired coordination, confusion","Supportive care, ensuring hydration, monitoring vital signs, prevention of complications",D035,False,True
Pilonidal Cyst,"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation","Warm compresses, pain management, antibiotics (for infection), incision and drainage, surgical removal or excision, wound care, lifestyle modifications to prevent recurrence",D036,False,True
Gestational Diabetes,High blood sugar levels during pregnancy,"Blood sugar monitoring, healthy diet modifications, regular exercise, insulin injections (if needed), close monitoring by healthcare provider",D037,False,True
Drug Withdrawal,"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings","Gradual tapering of the drug under medical supervision, medications to manage withdrawal symptoms (such as benzodiazepines, clonidine, or buprenorphine), behavioral therapy, support groups, counseling, rehabilitation programs",D038,False,True
Fetal Alcohol Syndrome,"Growth deficiencies, facial abnormalities, developmental delays, intellectual disability","Early intervention services for developmental delays, educational support, speech and occupational therapy, behavioral interventions, medical management of associated health issues",D039,False,True
Polycythemia Vera,"Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen","Phlebotomy (removal of blood), medication (hydroxyurea, interferon), low-dose aspirin, managing complications (blood thinners, medication for itching)",D040,True,True
Osteoarthritis,"Joint pain, stiffness, swelling","Pain relievers, physical therapy, weight management, assistive devices, surgery (in severe cases)",D041,False,True
Fracture of the Neck,"Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs","Immobilization (cervical collar, brace), pain management, potential surgical intervention (in severe cases)",D042,False,False
Myoclonus,"Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face","Identifying and treating underlying causes (e.g., medication adjustments, metabolic imbalances), medications (anti-seizure drugs, tranquilizers), physical therapy, supportive care",D043,False,True
Foreign Body in the Gastrointestinal Tract,"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract","Observation and monitoring (for small, smooth, and non-sharp objects that are likely to pass through the digestive tract without complications), endoscopic removal (using a flexible tube with a camera to locate and remove the foreign body), surgical intervention (in cases of severe complications, large or sharp objects, or failed endoscopic removal attempts), supportive care (such as intravenous fluids, pain management, and antibiotics if infection is present), imaging studies (such as X-rays or CT scans) to evaluate the location and extent of the foreign body, consultation with a gastroenterologist or surgeon for appropriate management",D044,True,True
